Admin_Unit_Code,Observations,Unique_Plots,Species_Richness_S,Shannon_Diversity_H,Simpson_Diversity_1_minus_D,Pielou_Evenness_J
ANTI,3921,99,80.0,3.6028,0.9612,0.8222
MONO,3385,83,99.0,3.6163,0.9564,0.787
PRWI,2463,132,54.0,3.2117,0.9436,0.8051
MANA,2276,68,80.0,3.5773,0.9599,0.8164
CHOH,2202,90,80.0,3.49,0.955,0.7964
CATO,805,45,46.0,3.1819,0.9417,0.8311
NACE,684,29,66.0,3.4504,0.951,0.8236
HAFE,539,23,54.0,3.5329,0.9621,0.8857
GWMP,386,20,49.0,3.3376,0.9507,0.8576
ROCR,289,14,45.0,3.3006,0.9482,0.8671
WOTR,127,6,27.0,2.9293,0.9312,0.8888
