Admin_Unit_Code,Sub_Unit_Code,Site_Name,Plot_Name,Location_Type,Habitat,Year,Date,Start_Time,End_Time,Month,Month_Name,Day,Day_Of_Week,Observation_Hour,Observation_Duration_Min,Season,Observer,Visit,Interval_Length,ID_Method,Distance,Distance_Category,Distance_Standardized,Flyover_Observed,Sex,Sex_Standardized,Common_Name,Scientific_Name,AcceptedTSN,Taxon_Code,AOU_Code,PIF_Watchlist_Status,Regional_Stewardship_Status,Conservation_Priority,Temperature,Humidity,Sky,Wind,Disturbance,Initial_Three_Min_Cnt,Previously_Obs,Source_Sheet
ANTI,,ANTI 1,ANTI-0036,Forest,Forest,2018,2018-05-22,06:19:00,06:29:00,5,May,22,Tuesday,6,10.0,Spring (Breeding Early),Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,Near (<= 50m),<= 50 Meters,False,Undetermined,Undetermined,Eastern Towhee,Pipilo erythrophthalmus,179276,83803,EATO,False,True,Regional Stewardship Only,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,,ANTI
ANTI,,ANTI 1,ANTI-0036,Forest,Forest,2018,2018-05-22,06:19:00,06:29:00,5,May,22,Tuesday,6,10.0,Spring (Breeding Early),Elizabeth Oswald,1,0-2.5 min,Calling,<= 50 Meters,Near (<= 50m),<= 50 Meters,False,,Undetermined,White-breasted Nuthatch,Sitta carolinensis,178775,90935,WBNU,False,False,Standard / Secure,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,,ANTI
ANTI,,ANTI 1,ANTI-0036,Forest,Forest,2018,2018-05-22,06:19:00,06:29:00,5,May,22,Tuesday,6,10.0,Spring (Breeding Early),Elizabeth Oswald,1,2.5 - 5 min,Calling,50 - 100 Meters,Far (50 - 100m),50 - 100 Meters,False,,Undetermined,Red-bellied Woodpecker,Melanerpes carolinus,178195,84865,RBWO,False,False,Standard / Secure,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,,ANTI
ANTI,,ANTI 1,ANTI-0036,Forest,Forest,2018,2018-05-22,06:19:00,06:29:00,5,May,22,Tuesday,6,10.0,Spring (Breeding Early),Elizabeth Oswald,1,2.5 - 5 min,Singing,<= 50 Meters,Near (<= 50m),<= 50 Meters,False,,Undetermined,Orchard Oriole,Icterus spurius,179064,93634,OROR,False,False,Standard / Secure,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,,ANTI
ANTI,,ANTI 1,ANTI-0036,Forest,Forest,2018,2018-05-22,06:19:00,06:29:00,5,May,22,Tuesday,6,10.0,Spring (Breeding Early),Elizabeth Oswald,1,2.5 - 5 min,Visualization,<= 50 Meters,Near (<= 50m),<= 50 Meters,False,,Undetermined,Northern Mockingbird,Mimus polyglottos,178620,88394,NOMO,False,False,Standard / Secure,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,,ANTI
ANTI,,ANTI 1,ANTI-0036,Forest,Forest,2018,2018-05-22,06:19:00,06:29:00,5,May,22,Tuesday,6,10.0,Spring (Breeding Early),Elizabeth Oswald,1,5 - 7.5 min,Singing,<= 50 Meters,Near (<= 50m),<= 50 Meters,False,,Undetermined,Northern Cardinal,Cardinalis cardinalis,179124,94228,NOCA,False,False,Standard / Secure,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,,ANTI
ANTI,,ANTI 1,ANTI-0036,Forest,Forest,2018,2018-05-22,06:19:00,06:29:00,5,May,22,Tuesday,6,10.0,Spring (Breeding Early),Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,Far (50 - 100m),50 - 100 Meters,False,,Undetermined,Northern Cardinal,Cardinalis cardinalis,179124,94228,NOCA,False,False,Standard / Secure,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,,ANTI
ANTI,,ANTI 1,ANTI-0036,Forest,Forest,2018,2018-05-22,06:19:00,06:29:00,5,May,22,Tuesday,6,10.0,Spring (Breeding Early),Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,Near (<= 50m),<= 50 Meters,False,,Undetermined,Horned Lark,Eremophila alpestris,554256,264079,HOLA,False,False,Standard / Secure,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,,ANTI
ANTI,,ANTI 1,ANTI-0036,Forest,Forest,2018,2018-05-22,06:19:00,06:29:00,5,May,22,Tuesday,6,10.0,Spring (Breeding Early),Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,Near (<= 50m),<= 50 Meters,False,,Undetermined,Mourning Dove,Zenaida macroura,177125,82737,MODO,False,False,Standard / Secure,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,,ANTI
ANTI,,ANTI 1,ANTI-0036,Forest,Forest,2018,2018-05-22,06:19:00,06:29:00,5,May,22,Tuesday,6,10.0,Spring (Breeding Early),Elizabeth Oswald,1,5 - 7.5 min,Singing,<= 50 Meters,Near (<= 50m),<= 50 Meters,False,Undetermined,Undetermined,Field Sparrow,Spizella pusilla,179443,84790,FISP,False,True,Regional Stewardship Only,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,,ANTI
ANTI,,ANTI 1,ANTI-0036,Forest,Forest,2018,2018-05-22,06:19:00,06:29:00,5,May,22,Tuesday,6,10.0,Spring (Breeding Early),Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,Near (<= 50m),<= 50 Meters,False,,Undetermined,Carolina Wren,Thryothorus ludovicianus,178581,88350,CARW,False,False,Standard / Secure,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,,ANTI
ANTI,,ANTI 1,ANTI-0036,Forest,Forest,2018,2018-05-22,06:19:00,06:29:00,5,May,22,Tuesday,6,10.0,Spring (Breeding Early),Elizabeth Oswald,1,7.5 - 10 min,Visualization,<= 50 Meters,Near (<= 50m),<= 50 Meters,False,,Undetermined,Carolina Chickadee,Poecile carolinensis,554383,265876,CACH,False,True,Regional Stewardship Only,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,,ANTI
ANTI,,ANTI 1,ANTI-0036,Forest,Forest,2018,2018-05-22,06:19:00,06:29:00,5,May,22,Tuesday,6,10.0,Spring (Breeding Early),Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,Far (50 - 100m),50 - 100 Meters,False,Undetermined,Undetermined,Eastern Wood-Pewee,Contopus virens,178359,85846,EAWP,False,True,Regional Stewardship Only,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,,ANTI
ANTI,,ANTI 1,ANTI-0036,Forest,Forest,2018,2018-05-22,06:19:00,06:29:00,5,May,22,Tuesday,6,10.0,Spring (Breeding Early),Elizabeth Oswald,1,2.5 - 5 min,Calling,50 - 100 Meters,Far (50 - 100m),50 - 100 Meters,False,,Undetermined,American Crow,Corvus brachyrhynchos,179731,87106,AMCR,False,False,Standard / Secure,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,,ANTI
ANTI,,ANTI 1,ANTI-0036,Forest,Forest,2018,2018-05-22,06:19:00,06:29:00,5,May,22,Tuesday,6,10.0,Spring (Breeding Early),Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,Near (<= 50m),<= 50 Meters,False,Undetermined,Undetermined,Indigo Bunting,Passerina cyanea,179150,94257,INBU,False,True,Regional Stewardship Only,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,True,,ANTI
ANTI,,ANTI 1,ANTI-0036,Forest,Forest,2018,2018-05-22,06:19:00,06:29:00,5,May,22,Tuesday,6,10.0,Spring (Breeding Early),Elizabeth Oswald,1,2.5 - 5 min,Singing,<= 50 Meters,Near (<= 50m),<= 50 Meters,False,,Undetermined,Eastern Tufted Titmouse,Baeolophus bicolor,554138,266957,ETTI,False,False,Standard / Secure,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,,ANTI
ANTI,,ANTI 1,ANTI-0036,Forest,Forest,2018,2018-05-22,06:19:00,06:29:00,5,May,22,Tuesday,6,10.0,Spring (Breeding Early),Elizabeth Oswald,1,7.5 - 10 min,Singing,<= 50 Meters,Near (<= 50m),<= 50 Meters,False,Undetermined,Undetermined,Yellow Warbler,Setophaga petechia,950039,773778,YEWA,False,False,Standard / Secure,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,,ANTI
ANTI,,ANTI 1,ANTI-0036,Forest,Forest,2018,2018-05-22,06:19:00,06:29:00,5,May,22,Tuesday,6,10.0,Spring (Breeding Early),Elizabeth Oswald,1,2.5 - 5 min,Visualization,<= 50 Meters,Near (<= 50m),<= 50 Meters,False,,Undetermined,Mourning Dove,Zenaida macroura,177125,82737,MODO,False,False,Standard / Secure,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,False,,ANTI
