Common_Name,Scientific_Name,AOU_Code,Total_Observations,Forest_Observations,Grassland_Observations,Plots_Recorded,Parks_Recorded,PIF_Watchlist,Regional_Stewardship,Habitat_Preference
Indigo Bunting,Passerina cyanea,INBU,635,150,485,275,10,False,True,Both Habitats
Eastern Wood-Pewee,Contopus virens,EAWP,574,486,88,346,11,False,True,Both Habitats
Field Sparrow,Spizella pusilla,FISP,542,36,506,166,6,False,True,Both Habitats
Acadian Flycatcher,Empidonax virescens,ACFL,462,436,26,247,11,False,True,Both Habitats
Carolina Chickadee,Poecile carolinensis,CACH,376,273,103,234,11,False,True,Both Habitats
Wood Thrush,Hylocichla mustelina,WOTH,309,290,19,187,10,True,True,Both Habitats
Downy Woodpecker,Picoides pubescens,DOWO,263,208,55,209,11,False,True,Both Habitats
Eastern Towhee,Pipilo erythrophthalmus,EATO,263,98,165,147,10,False,True,Both Habitats
Scarlet Tanager,Piranga olivacea,SCTA,216,199,17,173,11,False,True,Both Habitats
Hooded Warbler,Setophaga citrina,HOWA,64,64,0,45,3,False,True,Forest Only
Yellow-throated Vireo,Vireo flavifrons,YTVI,58,55,3,53,6,False,True,Both Habitats
Pine Warbler,Setophaga pinus,PIWA,50,42,8,40,6,False,True,Both Habitats
Louisiana Waterthrush,Parkesia motacilla,LOWA,43,43,0,40,5,False,True,Forest Only
Worm-eating Warbler,Helmitheros vermivorus,WEWA,31,31,0,29,5,True,True,Forest Only
Chimney Swift,Chaetura pelagica,CHSW,27,13,14,25,8,False,True,Both Habitats
Prairie Warbler,Setophaga discolor,PRAW,25,7,18,23,3,True,True,Both Habitats
Brown Thrasher,Toxostoma rufum,BRTH,23,7,16,19,5,False,True,Both Habitats
Blue Grosbeak,Guiraca caerulea,BLGR,15,0,15,13,3,False,True,Grassland Only
Cerulean Warbler,Setophaga cerulea,CERW,7,7,0,7,3,True,False,Forest Only
Belted Kingfisher,Ceryle alcyon,BEKI,4,3,1,4,2,False,True,Both Habitats
Yellow-throated Warbler,Setophaga dominica,YTWA,3,3,0,3,1,False,True,Forest Only
Willow Flycatcher,Empidonax traillii,WIFL,2,0,2,2,2,True,False,Grassland Only
Kentucky Warbler,Oporornis formosus,KEWA,2,1,1,2,2,True,True,Both Habitats
Blue-winged Warbler,Vermivora cyanoptera,BWWA,1,1,0,1,1,True,False,Forest Only
Red-headed Woodpecker,Melanerpes erythrocephalus,RHWO,1,1,0,1,1,True,False,Forest Only
