Column,Missing_Count,Missing_Percentage,Data_Type
Sub_Unit_Code,16355,95.77,object
Previously_Obs,8546,50.04,object
Site_Name,8531,49.96,str
Sex,5183,30.35,str
Distance,1486,8.7,str
AcceptedTSN,33,0.19,float64
ID_Method,2,0.01,str
Taxon_Code,2,0.01,float64
Start_Time,0,0.0,object
Date,0,0.0,datetime64[us]
Year,0,0.0,int64
End_Time,0,0.0,object
Interval_Length,0,0.0,str
Location_Type,0,0.0,str
Admin_Unit_Code,0,0.0,str
Plot_Name,0,0.0,str
Flyover_Observed,0,0.0,bool
Observer,0,0.0,str
Visit,0,0.0,int64
Scientific_Name,0,0.0,str
AOU_Code,0,0.0,str
PIF_Watchlist_Status,0,0.0,bool
Regional_Stewardship_Status,0,0.0,bool
Common_Name,0,0.0,str
Temperature,0,0.0,float64
Humidity,0,0.0,float64
Wind,0,0.0,str
Sky,0,0.0,str
Disturbance,0,0.0,str
Initial_Three_Min_Cnt,0,0.0,bool
Source_Sheet,0,0.0,str
Habitat,0,0.0,str
