Forest_Columns,Grassland_Columns
AOU_Code,AOU_Code
AcceptedTSN,AcceptedTSN
Admin_Unit_Code,Admin_Unit_Code
Common_Name,Common_Name
Date,Date
Distance,Distance
Disturbance,Disturbance
End_Time,End_Time
Flyover_Observed,Flyover_Observed
Habitat,Habitat
Humidity,Humidity
ID_Method,ID_Method
Initial_Three_Min_Cnt,Initial_Three_Min_Cnt
Interval_Length,Interval_Length
Location_Type,Location_Type
NPSTaxonCode,Observer
Observer,PIF_Watchlist_Status
PIF_Watchlist_Status,Plot_Name
Plot_Name,Previously_Obs
Regional_Stewardship_Status,Regional_Stewardship_Status
Scientific_Name,Scientific_Name
Sex,Sex
Site_Name,Sky
Sky,Source_Sheet
Source_Sheet,Start_Time
Start_Time,Sub_Unit_Code
Sub_Unit_Code,TaxonCode
Temperature,Temperature
Visit,Visit
Wind,Wind
Year,Year
