Common_Name,Scientific_Name,AOU_Code,Total_Observations,Forest_Observations,Grassland_Observations,Plots_Recorded,Parks_Recorded,PIF_Watchlist,Regional_Stewardship,Habitat_Preference
Northern Cardinal,Cardinalis cardinalis,NOCA,1160,595,565,442,11,False,False,Both Habitats
Carolina Wren,Thryothorus ludovicianus,CARW,1011,646,365,475,11,False,False,Both Habitats
Red-eyed Vireo,Vireo olivaceus,REVI,739,694,45,356,11,False,False,Both Habitats
Eastern Tufted Titmouse,Baeolophus bicolor,ETTI,728,541,187,411,11,False,False,Both Habitats
Indigo Bunting,Passerina cyanea,INBU,635,150,485,275,10,False,True,Both Habitats
Eastern Wood-Pewee,Contopus virens,EAWP,574,486,88,346,11,False,True,Both Habitats
Field Sparrow,Spizella pusilla,FISP,542,36,506,166,6,False,True,Both Habitats
European Starling,Sturnus vulgaris,EUST,522,6,516,58,5,False,False,Both Habitats
American Robin,Turdus migratorius,AMRO,496,294,202,284,11,False,False,Both Habitats
Red-bellied Woodpecker,Melanerpes carolinus,RBWO,493,398,95,319,11,False,False,Both Habitats
Acadian Flycatcher,Empidonax virescens,ACFL,462,436,26,247,11,False,True,Both Habitats
Red-winged Blackbird,Agelaius phoeniceus,RWBL,429,50,379,107,7,False,False,Both Habitats
Chipping Sparrow,Spizella passerina,CHSP,426,58,368,197,8,False,False,Both Habitats
Blue-gray Gnatcatcher,Polioptila caerulea,BGGN,408,310,98,311,11,False,False,Both Habitats
Mourning Dove,Zenaida macroura,MODO,397,162,235,238,10,False,False,Both Habitats
Grasshopper Sparrow,Ammodramus savannarum,GRSP,387,5,382,133,4,False,False,Both Habitats
Carolina Chickadee,Poecile carolinensis,CACH,376,273,103,234,11,False,True,Both Habitats
Brown-headed Cowbird,Molothrus ater,BHCO,366,136,230,213,10,False,False,Both Habitats
American Goldfinch,Carduelis tristis,AMGO,362,0,362,145,4,False,False,Grassland Only
Blue Jay,Cyanocitta cristata,BLJA,354,213,141,237,11,False,False,Both Habitats
Cedar Waxwing,Bombycilla cedrorum,CEDW,353,51,302,95,10,False,False,Both Habitats
Wood Thrush,Hylocichla mustelina,WOTH,309,290,19,187,10,True,True,Both Habitats
Ovenbird,Seiurus aurocapillus,OVEN,304,303,1,152,9,False,False,Both Habitats
American Crow,Corvus brachyrhynchos,AMCR,301,142,159,202,11,False,False,Both Habitats
Song Sparrow,Melospiza melodia,SOSP,271,32,239,118,9,False,False,Both Habitats
Barn Swallow,Hirundo rustica,BARS,268,2,266,65,4,False,False,Both Habitats
Downy Woodpecker,Picoides pubescens,DOWO,263,208,55,209,11,False,True,Both Habitats
Eastern Towhee,Pipilo erythrophthalmus,EATO,263,98,165,147,10,False,True,Both Habitats
Common Grackle,Quiscalus quiscula,COGR,227,51,176,106,9,False,False,Both Habitats
Great Crested Flycatcher,Myiarchus crinitus,GCFL,225,154,71,171,11,False,False,Both Habitats
Scarlet Tanager,Piranga olivacea,SCTA,216,199,17,173,11,False,True,Both Habitats
White-breasted Nuthatch,Sitta carolinensis,WBNU,214,188,26,180,11,False,False,Both Habitats
Eastern Bluebird,Sialia sialis,EABL,194,23,171,109,8,False,False,Both Habitats
Eastern Meadowlark,Sturnella magna,EAME,186,6,180,71,4,False,False,Both Habitats
Yellow-billed Cuckoo,Coccyzus americanus,YBCU,176,133,43,157,10,False,False,Both Habitats
American Goldfinch,Spinus tristis,AMGO,147,147,0,116,11,False,False,Forest Only
Common Yellowthroat,Geothlypis trichas,COYE,146,38,108,83,8,False,False,Both Habitats
Northern Mockingbird,Mimus polyglottos,NOMO,143,11,132,88,7,False,False,Both Habitats
Northern Parula,Setophaga americana,NOPA,123,114,9,91,10,False,False,Both Habitats
Gray Catbird,Dumetella carolinensis,GRCA,117,36,81,81,10,False,False,Both Habitats
